Column1;Column2;Column3
beru, chytám, zajímám, vybírám, volím;αἱρῶ, εῖν;
volím si;αἱροῦμαι, εῖσθαι;
strhuji, bořím;καθαιρῶ, εῖν;
odstraňuji, ničím, usmrcuji;ἀναιρῶ, εῖν;
sluší se, přísluší, je povinnost;προσ-ήκει;
odcházím, vracím se;ἀπ-έρχομαι;
předcházím, předstupuji;παρ-έρχομαι;
spatřuji;καθ-ορῶ, ᾶν;
propouštím, nechávám minouti;παρ-ίημι;
odbíhám, (pryč utíkám);ἀπο-τρέχω;
vynáším;ἐκ-φέρω;
roznáším, rozdvojuji;δια-φέρω;
rozdvojuji se, různím se, svářím se;δια-φέρομαι;
jím;ἐσθίω;
vbíhám;ἐπι-τρέχω;
polapuji, chytám;συλ-λαμβάνω;
prokazuji vděčnost, vzdávám dík;τίνω χάριν;
směji se, usmívám se;γελῶ, ᾶν;
sténám, vzdychám;στένω;
přibíhám;προσ-τρέχω;
ohryzuji, ohlodávám;περι-τρώγω;
vysmívám se (+gen);καταλεγῶ, ᾶν (+gen.);
odnáším; med. odnáším si, dostávám;κομίζω
